ACCIDENT_NO,ABS_CODE,Date,ACCIDENT_TIME,ACCIDENT_TYPE,DAY_OF_WEEK,LONGITUDE,LATITUDE,LGA_NAME,FATALITY,DEG_URBAN_ALL,REGION_NAME_ALL,RMA,STAT_DIV_NAME,Rainfall amount (millimetres),Maximum temperature (Degree C)
T20150021250,Driving accident,2015/08/19,06:45:00,No collision and no object struck,Wednesday,144.96312649,-37.81421972,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,12.7
T20150015373,Driving accident,2015/07/23,15:22:00,Collision with vehicle,Thursday,144.9587524,-37.81075829,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,16.1
T20150017283,Driving accident,2015/07/23,16:30:00,Collision with vehicle,Thursday,144.94990635,-37.81123535,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,16.1
T20150015392,Driving accident,2015/07/23,14:00:00,Collision with vehicle,Thursday,144.94517608,-37.82574006,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,0.0,16.1
T20150016499,Driving accident,2015/08/04,16:45:00,Collision with vehicle,Tuesday,144.9661714,-37.80888065,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,11.3
T20150016909,Driving accident,2015/08/14,08:55:00,Collision with vehicle,Friday,144.96265729,-37.82836391,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.0,15.3
T20150019468,Driving accident,2015/08/14,13:00:00,Collision with vehicle,Friday,144.94889238,-37.79874129,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,15.3
T20150016528,Driving accident,2015/08/08,18:40:00,Struck Pedestrian,Saturday,144.97742764,-37.82242391,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,0.4,12.6
T20150016529,Driving accident,2015/08/08,18:51:00,Collision with vehicle,Saturday,144.93205842,-37.8200929,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,0.4,12.6
T20150016502,Driving accident,2015/08/08,11:15:00,Collision with vehicle,Saturday,144.92889999,-37.78806999,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.4,12.6
T20150016510,Driving accident,2015/08/08,09:20:00,Collision with vehicle,Saturday,144.95692394,-37.80107194,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.4,12.6
T20150014306,Driving accident,2015/07/08,14:23:00,Struck Pedestrian,Wednesday,144.95320965,-37.81497316,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.2,14.8
T20150017134,Driving accident,2015/08/17,12:09:00,Collision with a fixed object,Monday,144.97215732,-37.81485825,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,2.4,12.2
T20150017915,Driving accident,2015/08/22,13:00:00,Collision with vehicle,Saturday,144.94192183,-37.78922279,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,18.8
T20150017485,Driving accident,2015/08/22,11:20:00,Struck Pedestrian,Saturday,144.9573535,-37.79969343,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,18.8
T20150017481,Driving accident,2015/08/22,09:30:00,Struck Pedestrian,Saturday,144.95845484,-37.79255197,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,18.8
T20150017483,Driving accident,2015/08/22,11:00:00,Collision with vehicle,Saturday,144.95786418,-37.79706544,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,18.8
T20150017928,Driving accident,2015/08/28,18:45:00,Struck Pedestrian,Friday,144.95487534,-37.81443336,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,17.4,13.2
T20150017983,Driving accident,2015/08/28,08:35:00,Collision with vehicle,Friday,144.96252008,-37.80998213,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,17.4,13.2
T20150017901,Driving accident,2015/08/28,10:02:00,Struck Pedestrian,Friday,144.95828249,-37.82013705,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,17.4,13.2
T20150018048,Driving accident,2015/08/28,23:13:00,Struck Pedestrian,Friday,144.96588935,-37.80694533,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,17.4,13.2
T20150020065,Driving accident,2015/08/28,17:00:00,Collision with vehicle,Thursday,144.95795495,-37.81799461,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,17.4,13.2
T20150018070,Driving accident,2015/08/29,02:00:00,Struck Pedestrian,Saturday,144.96989236,-37.8234133,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,1.8,11.7
T20150018017,Driving accident,2015/08/29,14:20:00,Collision with vehicle,Saturday,144.95500902,-37.82080024,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,1.8,11.7
T20150018001,Driving accident,2015/08/29,21:55:00,No collision and no object struck,Saturday,144.96253162,-37.82784293,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,1.8,11.7
T20150017956,Driving accident,2015/08/29,12:05:00,Collision with vehicle,Friday,144.92425305,-37.78841552,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,1.8,11.7
T20150018089,Driving accident,2015/08/27,13:50:00,Struck Pedestrian,Thursday,144.98915754,-37.82307549,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.8,11.7
T20150017855,Driving accident,2015/08/27,18:11:00,Collision with vehicle,Thursday,144.97597335,-37.83695685,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.8,11.7
T20150017842,Driving accident,2015/08/27,18:30:00,collision with some other object,Thursday,144.97974638,-37.8470231,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.8,11.7
T20150013858,Driving accident,2015/07/01,17:15:00,Struck Pedestrian,Wednesday,144.95396989,-37.81254782,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,15.0
T20150017790,Driving accident,2015/08/26,13:40:00,No collision and no object struck,Wednesday,144.92155815,-37.80228714,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.2,14.6
T20150017748,Driving accident,2015/08/26,14:10:00,Collision with vehicle,Wednesday,144.96900758,-37.79229666,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.2,14.6
T20150017758,Driving accident,2015/08/26,19:30:00,Collision with vehicle,Wednesday,144.9400259,-37.78919866,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.2,14.6
T20150018358,Driving accident,2015/09/03,17:23:00,Collision with vehicle,Wednesday,144.96581377,-37.82182382,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,4.4,14.0
T20150017092,Driving accident,2015/08/03,16:30:00,Collision with vehicle,Monday,144.97251342,-37.81368586,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,6.4,10.8
T20150016179,Driving accident,2015/08/03,22:35:00,Collision with a fixed object,Monday,144.92491106,-37.79128857,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,6.4,10.8
T20150016131,Driving accident,2015/07/20,18:00:00,No collision and no object struck,Monday,144.96639846,-37.81511353,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,14.7
T20150018436,Driving accident,2015/08/23,10:25:00,Collision with vehicle,Sunday,144.95901979,-37.78995624,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,16.3
T20150017534,Driving accident,2015/08/23,11:55:00,Collision with vehicle,Sunday,144.96548366,-37.81799296,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,16.3
T20150017302,Driving accident,2015/08/13,08:30:00,Collision with vehicle,Thursday,144.95875907,-37.79981371,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.2,13.0
T20150017831,Driving accident,2015/08/13,09:45:00,Collision with vehicle,Thursday,144.95552461,-37.80370787,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.2,13.0
T20150016915,Driving accident,2015/08/13,13:47:00,Struck Pedestrian,Thursday,144.95809853,-37.82764332,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.2,13.0
T20150014860,Driving accident,2015/07/16,22:25:00,Collision with vehicle,Wednesday,144.96289913,-37.82859561,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.2,12.3
T20150017474,Driving accident,2015/08/21,13:15:00,Collision with vehicle,Friday,144.99135798,-37.80990798,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.0,18.7
T20150017477,Driving accident,2015/08/21,13:02:00,Struck Pedestrian,Thursday,144.96965389,-37.81013691,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,18.7
T20150017400,Driving accident,2015/08/21,00:53:00,Collision with vehicle,Thursday,144.9595134,-37.79988508,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,18.7
T20150017424,Driving accident,2015/08/21,10:50:00,Collision with vehicle,Friday,144.98794443,-37.831469,MELBOURNE,0.0,MELB_URBAN,"METROPOLITAN SOUTH EAST REGION,METROPOLITAN NORTH WEST REGION",Arterial Highway,Metro,0.0,18.7
T20150018593,Driving accident,2015/09/07,08:00:00,No collision and no object struck,Sunday,144.96197163,-37.81014287,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,3.6,13.6
T20150018643,Driving accident,2015/09/07,18:30:00,Collision with vehicle,Sunday,144.96073013,-37.77814251,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,3.6,13.6
T20150017010,Driving accident,2015/08/15,17:22:00,Collision with vehicle,Saturday,144.94790522,-37.8260681,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,0.4,14.9
T20150019186,Driving accident,2015/09/12,03:29:00,Collision with vehicle,Saturday,144.95562545,-37.80835973,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,21.7
T20150019050,Driving accident,2015/09/12,10:24:00,Collision with vehicle,Saturday,144.94865546,-37.80550151,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,21.7
T20150018674,Driving accident,2015/09/08,12:00:00,No collision and no object struck,Tuesday,144.95884902,-37.82412048,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,2.0,12.8
T20150018667,Driving accident,2015/09/08,09:30:00,Collision with vehicle,Tuesday,144.97741784,-37.81553956,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,2.0,12.8
T20150018753,Driving accident,2015/09/09,12:25:00,Struck Pedestrian,Tuesday,144.97865508,-37.84402211,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,15.3
T20150021187,Driving accident,2015/09/09,08:50:00,Collision with vehicle,Wednesday,144.957241,-37.81337744,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,15.3
T20150019285,Driving accident,2015/09/16,14:55:00,Struck Pedestrian,Wednesday,144.92816919,-37.78800289,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.0,14.8
T20150019291,Driving accident,2015/09/16,19:10:00,Struck Pedestrian,Wednesday,144.95857521,-37.81560202,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,14.8
T20150019264,Driving accident,2015/09/16,09:05:00,Struck Pedestrian,Wednesday,144.96134248,-37.80651911,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,14.8
T20150019361,Driving accident,2015/09/17,19:00:00,Collision with vehicle,Thursday,144.93864638,-37.77924962,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,0.4,14.3
T20150019349,Driving accident,2015/09/17,15:00:00,Collision with vehicle,Thursday,144.96875962,-37.81704029,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.4,14.3
T20150018924,Driving accident,2015/09/11,15:20:00,Collision with vehicle,Friday,144.97173704,-37.79972988,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,20.1
T20150019945,Driving accident,2015/09/11,18:30:00,Collision with vehicle,Thursday,144.97578509,-37.83697727,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,20.1
T20150018919,Driving accident,2015/09/11,05:45:00,Collision with vehicle,Friday,144.97061518,-37.823154,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,20.1
T20150021168,Driving accident,2015/09/11,14:30:00,Collision with vehicle,Friday,144.9585099,-37.79252777,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,20.1
T20150016314,Driving accident,2015/08/05,23:30:00,Collision with vehicle,Wednesday,144.95960612,-37.78253277,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,1.0,10.8
T20150019606,Driving accident,2015/08/06,20:30:00,Collision with vehicle,Thursday,144.9672008,-37.8169028,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,1.6,12.8
T20150015826,Driving accident,2015/07/29,21:55:00,Collision with vehicle,Wednesday,144.97303905,-37.82488438,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,0.0,14.0
T20150015799,Driving accident,2015/07/29,15:30:00,Collision with vehicle,Wednesday,144.97104,-37.81314999,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,14.0
T20150019500,Driving accident,2015/09/19,16:05:00,Collision with vehicle,Saturday,144.94759569,-37.79378162,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,21.3
T20150019459,Driving accident,2015/09/19,01:15:00,Collision with vehicle,Saturday,144.94295544,-37.81282301,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.0,21.3
T20150019462,Driving accident,2015/09/19,00:30:00,Collision with vehicle,Saturday,144.98355382,-37.81041212,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,21.3
T20150019474,Driving accident,2015/09/19,10:05:00,Struck Pedestrian,Saturday,144.97065464,-37.81207238,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,21.3
T20150018220,Driving accident,2015/09/01,23:40:00,Collision with vehicle,Monday,144.96765175,-37.81182341,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,16.2
T20150018208,Driving accident,2015/09/01,18:09:00,Struck Pedestrian,Tuesday,144.97722467,-37.84141603,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,16.2
T20150018172,Driving accident,2015/09/01,11:55:00,Collision with vehicle,Monday,144.96212826,-37.81015395,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,16.2
T20150015644,Driving accident,2015/07/27,07:09:00,Struck Pedestrian,Monday,144.91630965,-37.78208246,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.8,13.9
T20150020321,Driving accident,2015/10/01,18:50:00,Collision with vehicle,Thursday,144.96813755,-37.79373963,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,21.6
T20150020326,Driving accident,2015/10/01,19:07:00,Struck Pedestrian,Thursday,144.9688236,-37.80721789,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,21.6
T20150020330,Driving accident,2015/10/01,20:00:00,Struck Pedestrian,Thursday,144.96650648,-37.81554378,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,21.6
T20150020314,Driving accident,2015/10/01,16:55:00,Collision with vehicle,Thursday,144.97570559,-37.79307695,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.0,21.6
T20150020384,Driving accident,2015/10/01,07:30:00,Collision with vehicle,Thursday,144.96262195,-37.8099731,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,21.6
T20150016594,Driving accident,2015/08/10,01:40:00,Collision with vehicle,Monday,144.97213563,-37.80939473,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.2,16.0
T20150018512,Driving accident,2015/09/04,22:45:00,Collision with vehicle,Friday,144.96838981,-37.79226017,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,13.7
T20150019764,Driving accident,2015/09/04,19:00:00,Collision with vehicle,Friday,144.94779258,-37.82666994,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,0.0,13.7
T20150018518,Driving accident,2015/09/05,14:05:00,No collision and no object struck,Saturday,144.93929789,-37.82543236,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,0.0,14.0
T20150018256,Driving accident,2015/09/02,10:45:00,Collision with a fixed object,Wednesday,144.96545845,-37.81199968,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,18.8
T20150018238,Driving accident,2015/09/02,09:55:00,No collision and no object struck,Wednesday,144.98212543,-37.83412763,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,18.8
T20150018252,Driving accident,2015/09/02,10:30:00,Collision with a fixed object,Tuesday,144.94954901,-37.80331646,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,18.8
T20150018484,Driving accident,2015/08/31,17:02:00,No collision and no object struck,Monday,144.95574641,-37.80736841,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,13.0
T20150018075,Driving accident,2015/08/31,01:58:00,Collision with vehicle,Monday,144.95849062,-37.82399162,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.0,13.0
T20150020828,Driving accident,2015/10/09,04:59:00,Collision with vehicle,Friday,144.97214002,-37.80940401,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,29.9
T20150020843,Driving accident,2015/10/09,09:20:00,Collision with vehicle,Thursday,144.94486487,-37.82575699,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,0.0,29.9
T20150021664,Driving accident,2015/10/09,21:00:00,Collision with vehicle,Friday,144.97201481,-37.79766153,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,29.9
T20150020901,Driving accident,2015/10/09,23:41:00,Collision with vehicle,Friday,144.98932895,-37.82195082,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.0,29.9
T20150025279,Driving accident,2015/10/09,18:00:00,Collision with vehicle,Friday,144.96899377,-37.80605429,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,29.9
T20150021047,Driving accident,2015/10/12,08:59:00,Struck Pedestrian,Monday,144.92947439,-37.79431596,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.6,16.1
T20150022755,Driving accident,2015/10/12,08:40:00,No collision and no object struck,Monday,144.99138198,-37.80960679,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.6,16.1
T20150021095,Driving accident,2015/10/12,18:15:00,Collision with vehicle,Sunday,144.97058566,-37.79666685,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.6,16.1
T20150021042,Driving accident,2015/10/12,07:22:00,Struck Pedestrian,Monday,144.95678127,-37.82483594,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.6,16.1
T20150021078,Driving accident,2015/10/12,14:25:00,Collision with vehicle,Monday,144.96873322,-37.80821385,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.6,16.1
T20150021344,Driving accident,2015/10/13,08:45:00,Collision with vehicle,Tuesday,144.92270152,-37.78932268,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.4,17.6
T20150021144,Driving accident,2015/10/13,09:00:00,Collision with vehicle,Tuesday,144.96936843,-37.80405576,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.4,17.6
T20150019454,Driving accident,2015/09/18,22:33:00,Struck Pedestrian,Friday,144.95513293,-37.82114523,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,14.7
T20150021091,Driving accident,2015/09/06,19:00:00,Collision with vehicle,Sunday,144.95800236,-37.82025757,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,16.6
T20150018565,Driving accident,2015/09/06,17:20:00,Collision with vehicle,Sunday,144.94684829,-37.79505444,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,16.6
T20150017683,Driving accident,2015/08/25,18:30:00,Struck Pedestrian,Tuesday,144.96708939,-37.81051997,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,14.3
T20150017663,Driving accident,2015/08/25,12:00:00,Collision with vehicle,Tuesday,144.92300933,-37.78924016,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.0,14.3
T20150018067,Driving accident,2015/08/30,15:30:00,Collision with vehicle,Sunday,144.94851226,-37.80081505,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,2.2,12.5
T20150018042,Driving accident,2015/08/30,02:00:00,Collision with vehicle,Sunday,144.96134054,-37.81030954,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,2.2,12.5
T20150018034,Driving accident,2015/08/30,11:58:00,Collision with vehicle,Sunday,144.95766679,-37.82660706,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,2.2,12.5
T20150021323,Driving accident,2015/10/14,17:45:00,Collision with vehicle,Wednesday,144.97735842,-37.81551276,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,28.6
T20150021271,Driving accident,2015/10/14,13:25:00,Collision with vehicle,Wednesday,144.92295589,-37.82799302,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,0.0,28.6
T20150021206,Driving accident,2015/10/14,11:20:00,Collision with vehicle,Wednesday,144.9336918,-37.80594337,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,0.0,28.6
T20150021228,Driving accident,2015/10/14,09:45:00,Collision with a fixed object,Wednesday,144.9288402,-37.78808933,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.0,28.6
T20150019747,Driving accident,2015/09/23,09:55:00,Collision with vehicle,Wednesday,144.96777818,-37.81066307,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,12.6
T20150019735,Driving accident,2015/09/23,10:20:00,Struck Pedestrian,Wednesday,144.98252369,-37.83414557,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,12.6
T20150016893,Driving accident,2015/08/12,11:05:00,Collision with vehicle,Wednesday,144.97034611,-37.82324779,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,14.8
T20150016857,Driving accident,2015/08/12,06:10:00,Collision with vehicle,Wednesday,144.95420274,-37.80692289,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,14.8
T20150019853,Driving accident,2015/08/12,09:55:00,Collision with vehicle,Tuesday,144.94757396,-37.82548826,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.0,14.8
T20150021561,Driving accident,2015/10/08,17:45:00,Collision with vehicle,Thursday,144.97138453,-37.8289843,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,18.6
T20150020810,Driving accident,2015/10/08,16:45:00,Struck Pedestrian,Thursday,144.96411958,-37.8182038,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,18.6
