ACCIDENT_NO,ABS_CODE,Date,ACCIDENT_TIME,ACCIDENT_TYPE,DAY_OF_WEEK,LONGITUDE,LATITUDE,LGA_NAME,FATALITY,DEG_URBAN_ALL,REGION_NAME_ALL,RMA,STAT_DIV_NAME,Rainfall amount (millimetres),Maximum temperature (Degree C)
T20140014677,Driving accident,2014/07/16,17:20:00,Collision with vehicle,Wednesday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,2.0,14.7
T20140014617,Driving accident,2014/07/16,09:20:00,Collision with vehicle,Wednesday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,2.0,14.7
T20140016029,Driving accident,2014/07/16,23:45:00,Collision with vehicle,Wednesday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,2.0,14.7
T20140016754,Driving accident,2014/07/16,05:02:00,Struck Pedestrian,Wednesday,-1.0,-1.0,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,2.0,14.7
T20140014662,Driving accident,2014/07/16,17:30:00,Struck Pedestrian,Wednesday,-1.0,-1.0,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,2.0,14.7
T20140014950,Driving accident,2014/07/20,15:58:00,Collision with vehicle,Sunday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,0.2,13.7
T20140014929,Driving accident,2014/07/20,09:45:00,Collision with vehicle,Sunday,-1.0,-37.80924657,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.2,13.7
T20140014995,Driving accident,2014/07/21,07:17:00,Struck Pedestrian,Monday,144.98309596,-37.82391287,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,12.9
T20140014988,Driving accident,2014/07/21,09:40:00,Collision with vehicle,Monday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,12.9
T20140014834,Driving accident,2014/07/18,19:16:00,Struck Pedestrian,Friday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,2.4,12.5
T20140014931,Driving accident,2014/07/18,11:00:00,Collision with vehicle,Thursday,144.9473622,-37.82076375,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,2.4,12.5
T20140014494,Driving accident,2014/07/08,12:10:00,Collision with vehicle,Tuesday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,15.1
T20140016861,Driving accident,2014/07/08,02:00:00,Collision with vehicle,Tuesday,144.97101393,-37.81305811,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,15.1
T20140015064,Driving accident,2014/07/22,10:34:00,Struck Pedestrian,Tuesday,-1.0,-1.0,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,12.2
T20140015076,Driving accident,2014/07/22,09:15:00,Collision with vehicle,Tuesday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,12.2
T20140015075,Driving accident,2014/07/22,10:32:00,Vehicle overturned (no collision),Tuesday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,12.2
T20140015127,Driving accident,2014/07/23,07:20:00,Collision with vehicle,Tuesday,144.94105603,-37.79719131,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,14.1
T20140015153,Driving accident,2014/07/23,11:38:00,Collision with vehicle,Wednesday,-1.0,-1.0,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,14.1
T20140015252,Driving accident,2014/07/23,23:00:00,Collision with vehicle,Wednesday,-1.0,-1.0,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,14.1
T20140015319,Driving accident,2014/07/25,09:32:00,Struck Pedestrian,Friday,-1.0,-37.81640704,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,16.4
T20140015641,Driving accident,2014/07/29,12:29:00,Collision with vehicle,Tuesday,144.93741179,-37.80534191,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,0.0,16.8
T20140015731,Driving accident,2014/07/29,17:45:00,Collision with vehicle,Tuesday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,16.8
T20140022922,Driving accident,2014/07/29,18:45:00,Collision with vehicle,Tuesday,144.94760988,-37.776497,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,16.8
T20140015585,Driving accident,2014/07/28,19:19:00,Collision with vehicle,Monday,144.940882,-37.78923326,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.0,16.9
T20140015591,Driving accident,2014/07/28,23:27:00,Struck Pedestrian,Monday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,16.9
T20140015636,Driving accident,2014/07/28,16:50:00,Collision with vehicle,Monday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.0,16.9
T20140015892,Driving accident,2014/08/01,20:40:00,Collision with vehicle,Friday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,5.2,10.1
T20140015857,Driving accident,2014/08/01,16:10:00,Collision with vehicle,Friday,144.96050474,-37.8105472,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,5.2,10.1
T20140018628,Driving accident,2014/08/01,08:30:00,Collision with vehicle,Friday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,5.2,10.1
T20140016033,Driving accident,2014/08/03,12:46:00,Collision with vehicle,Sunday,144.97206989,-37.79767115,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.6,14.4
T20140016022,Driving accident,2014/08/03,15:31:00,Struck Pedestrian,Sunday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.6,14.4
T20140015967,Driving accident,2014/08/03,01:13:00,Collision with vehicle,Sunday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.6,14.4
T20140016272,Driving accident,2014/08/07,08:40:00,Collision with vehicle,Thursday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,1.6,14.1
T20140016353,Driving accident,2014/08/07,21:03:00,Collision with vehicle,Wednesday,144.91336749,-37.83199142,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,1.6,14.1
T20140016323,Driving accident,2014/08/07,16:20:00,Collision with vehicle,Thursday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,1.6,14.1
T20140016327,Driving accident,2014/08/07,18:50:00,Collision with vehicle,Thursday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,1.6,14.1
T20140015955,Driving accident,2014/08/02,18:25:00,Collision with vehicle,Saturday,144.93410981,-37.80955384,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,10.6,11.9
T20140015965,Driving accident,2014/08/02,22:20:00,Collision with vehicle,Saturday,144.94945051,-37.80092003,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,10.6,11.9
T20140016092,Driving accident,2014/08/04,19:10:00,Struck Pedestrian,Monday,-1.0,-1.0,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,14.9
T20140016137,Driving accident,2014/08/04,11:45:00,Collision with vehicle,Sunday,144.95177094,-37.8218767,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.0,14.9
T20140016098,Driving accident,2014/08/04,16:20:00,Collision with vehicle,Monday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.0,14.9
T20140016535,Driving accident,2014/08/09,19:20:00,Collision with vehicle,Saturday,-1.0,-1.0,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,15.2
T20140015775,Driving accident,2014/07/31,13:55:00,Collision with vehicle,Thursday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.0,19.7
T20140016697,Driving accident,2014/08/12,18:47:00,Collision with vehicle,Tuesday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,0.6,11.9
T20140016758,Driving accident,2014/08/12,14:30:00,Collision with vehicle,Tuesday,144.98154207,-37.83775176,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.6,11.9
T20140016658,Driving accident,2014/08/12,08:40:00,Collision with vehicle,Tuesday,-1.0,-1.0,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.6,11.9
T20140026190,Driving accident,2014/08/12,18:45:00,Vehicle overturned (no collision),Monday,144.93787173,-37.82316728,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.6,11.9
T20140016169,Driving accident,2014/08/05,18:50:00,Collision with vehicle,Tuesday,-1.0,-37.79306177,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.0,16.8
T20140015902,Driving accident,2014/07/07,18:45:00,Collision with vehicle,Sunday,144.9248576,-37.79109965,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,15.8
T20140016227,Driving accident,2014/08/06,12:00:00,Struck Pedestrian,Wednesday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,16.0
T20140016915,Driving accident,2014/08/15,16:15:00,Collision with vehicle,Friday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.0,16.9
T20140017055,Driving accident,2014/08/15,21:20:00,Collision with vehicle,Friday,-1.0,-1.0,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,16.9
T20140017203,Driving accident,2014/08/15,02:00:00,No collision and no object struck,Friday,-1.0,-1.0,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,16.9
T20140017720,Driving accident,2014/08/15,17:30:00,Collision with vehicle,Thursday,144.9332653,-37.78847011,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.0,16.9
T20140016788,Driving accident,2014/08/14,03:45:00,Collision with a fixed object,Thursday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.8,13.7
T20140016419,Driving accident,2014/08/08,18:00:00,Struck Pedestrian,Friday,144.9717083,-37.82719646,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,2.6,16.3
T20140017242,Driving accident,2014/08/20,10:38:00,Collision with vehicle,Wednesday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,0.0,12.6
T20140017246,Driving accident,2014/08/20,13:14:00,Collision with vehicle,Wednesday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.0,12.6
T20140017274,Driving accident,2014/08/20,18:00:00,Struck Pedestrian,Wednesday,-1.0,-1.0,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,12.6
T20140016811,Driving accident,2014/08/13,10:25:00,Collision with vehicle,Wednesday,144.97581496,-37.83758517,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.2,13.5
T20140017416,Driving accident,2014/08/22,20:29:00,Collision with vehicle,Friday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,20.2
T20140017382,Driving accident,2014/08/22,13:07:00,Collision with vehicle,Thursday,144.94782354,-37.8109564,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,20.2
